RK4,,,PS (adaptive),,,PS16,,
steps per gyro,Error,wall clock,steps per gyro,error,wall clock,steps per gyro,error,wall clock
125,4.54E-01,9.13,150,4.16E-12,82.79,150,4.16E-12,82.79
200,1.20E-01,12.23,100,5.23E-12,59.75,100,5.23E-12,59.75
250,3.91E-02,15.96,80,1.27E-11,49.85,80,1.27E-11,49.85
300,1.63E-02,18.03,75,2.06E-12,47.71,75,2.06E-12,47.71
350,7.09E-03,20.93,70,3.50E-13,45.84,70,3.50E-13,45.84
400,4.41E-03,23.41,65,9.10E-12,43.47,65,9.10E-12,43.47
450,1.96E-03,26.46,60,4.66E-12,40.98,60,4.66E-12,40.74
500,1.45E-03,29.07,55,1.59E-11,38.38,55,1.61E-11,38.61
600,5.12E-04,35.07,50,7.19E-13,35.64,50,1.45E-12,36.17
700,2.22E-04,42.25,45,1.54E-12,33.92,45,1.06E-12,32.76
800,1.38E-04,46.92,40,2.23E-11,30.85,40,2.28E-11,30.08
900,8.16E-05,51.69,35,5.25E-12,28.62,35,3.14E-12,26.73
1000,4.53E-05,60.96,30,1.6E-11,26.61,30,1.38E-11,23.53
1100,2.32E-05,66.68,25,5.16E-12,23.68,25,5.81E-10,20.15
1200,2.32E-05,73.62,20,5.95E-12,21.51,20,2.26E-08,16.74
1300,1.08E-05,81.12,15,2.06E-11,19.66,15,2.15E-06,13.47
1500,4.33E-06,93.43,10,6.02E-11,19.39,10,2.80E-03,9.54
,,,,,,,,
,,,,,,,,
