Method,L,10^1 eV,10^2 eV,10^3 eV,10^4 eV,10^5 eV,10^6 eV,10^7 eV,10^8 eV
Analytical Bounce,8,80.3,25.4,8.04,2.58,0.916,0.534,0.503,0.502
Analytical Bounce,6,60.2,19.0,6.03,1.93,0.687,0.4,0.377,0.377
Analytical Bounce,5,50.2,15.9,5.02,1.61,0.572,0.334,0.314,0.314
Analytical Bounce,4,40.1,12.7,4.02,1.29,0.458,0.267,0.251,0.251
Analytical Bounce,3,30.1,9.52,3.01,0.966,0.343,0.2,0.189,0.188
Analytical Bounce,2,20.1,6.35,2.01,0.644,0.229,0.133,0.126,0.126
Analytical Bounce,1,10.0,3.17,1.0,0.322,0.114,0.0667,0.0628,0.0628
Analytical Drift,8,33200000.0,3320000.0,332000.0,33500.0,3610.0,495.0,63.2,6.6
Analytical Drift,6,44200000.0,4420000.0,442000.0,44600.0,4810.0,661.0,84.3,8.8
Analytical Drift,5,53000000.0,5300000.0,531000.0,53600.0,5780.0,793.0,101.0,10.6
Analytical Drift,4,66300000.0,6630000.0,664000.0,66900.0,7220.0,991.0,126.0,13.2
Analytical Drift,3,88400000.0,8840000.0,885000.0,89300.0,9630.0,1320.0,169.0,17.6
Analytical Drift,2,133000000.0,13300000.0,1330000.0,134000.0,14400.0,1980.0,253.0,26.4
Analytical Drift,1,265000000.0,26500000.0,2650000.0,268000.0,28900.0,3960.0,506.0,52.8
PS Method Bounce,8,101.0,28.1,8.09,2.59,0.921,0.536,0.5,0.448
PS Method Bounce,6,60.6,19.2,6.07,1.94,0.691,0.402,0.377,0.356
PS Method Bounce,5,50.5,16.0,5.06,1.62,0.576,0.335,0.315,0.302
PS Method Bounce,4,40.4,12.8,4.04,1.3,0.461,0.268,0.252,0.246
PS Method Bounce,3,30.3,9.58,3.03,0.972,0.346,0.201,0.189,0.187
PS Method Bounce,2,20.2,6.39,2.02,0.648,0.23,0.134,0.126,0.125
PS Method Bounce,1,10.1,3.19,1.01,0.324,0.115,0.0671,0.0632,0.0631
PS Method Drift,8,33200000.0,3320000.0,333000.0,33600.0,3620.0,497.0,64.1,7.26
PS Method Drift,6,44300000.0,4430000.0,443000.0,44700.0,4830.0,663.0,85.0,9.32
PS Method Drift,5,53200000.0,5320000.0,532000.0,53700.0,5790.0,795.0,102.0,11.0
PS Method Drift,4,66500000.0,6650000.0,665000.0,67100.0,7240.0,994.0,127.0,13.6
PS Method Drift,3,88600000.0,8860000.0,887000.0,89500.0,9650.0,1320.0,169.0,17.9
PS Method Drift,2,133000000.0,13300000.0,1330000.0,134000.0,14500.0,1990.0,254.0,26.6
PS Method Drift,1,266000000.0,26600000.0,2660000.0,268000.0,29000.0,3980.0,507.0,53.0
