energy_label,pitch_deg,method,errE_mean,errE_max,errMu_mean,errMu_max,runtime_s
50 keV,90,RK45,0.824,0.827,0.824,0.827,225.72
50 keV,90,RK4,0.108,0.108,0.108,0.109,8.26
50 keV,90,RKG,425000000.0,425000000.0,3.04e+27,3.08e+27,13.84
50 keV,90,PS,1.67e-12,1.68e-12,0.000291,0.000582,47.65
50 keV,60,RK45,0.939,0.946,0.968,0.971,261.8
50 keV,60,RK4,0.27,0.272,0.291,0.293,7.68
50 keV,60,RKG,425000000.0,425000000.0,4.05e+27,4.11e+27,14.45
50 keV,60,PS,2.08e-12,2.11e-12,0.00042,0.00084,48.35
1 MeV,90,RK45,1.0,1.0,1.0,1.0,160.54
1 MeV,90,RK4,0.108,0.109,0.11,0.112,8.38
1 MeV,90,RKG,11300000.0,11300000.0,8.04e+25,8.16e+25,16.93
1 MeV,90,PS,8.47e-12,8.48e-12,0.00178,0.00356,51.63
1 MeV,60,RK45,,,,,
1 MeV,60,RK4,0.273,0.274,0.295,0.298,8.36
1 MeV,60,RKG,11300000.0,11300000.0,1.07e+26,1.09e+26,14.35
1 MeV,60,PS,2.04e-12,2.06e-12,0.00257,0.00515,51.23
100 MeV,90,RK45,0.0532,0.0535,0.15,0.249,436.18
100 MeV,90,RK4,0.224,0.225,0.305,0.378,8.34
100 MeV,90,RKG,2160.0,2160.0,1.45e+22,1.47e+22,14.36
100 MeV,90,PS,8.91e-12,8.96e-12,0.102,0.209,59.92
100 MeV,60,RK45,0.0563,0.0566,0.216,0.357,520.9
100 MeV,60,RK4,0.618,0.62,0.709,0.746,7.73
100 MeV,60,RKG,2170.0,2170.0,1.96e+22,1.99e+22,14.14
100 MeV,60,PS,1.03e-11,1.03e-11,0.16,0.314,60.51
150 MeV,90,RK45,0.0392,0.0393,0.174,0.313,488.72
150 MeV,90,RK4,0.316,0.317,0.416,0.499,7.58
150 MeV,90,RKG,942.0,942.0,6.12e+21,6.22e+21,16.02
150 MeV,90,PS,8.17e-13,8.32e-13,0.139,0.287,63.93
150 MeV,60,RK45,0.0417,0.0419,0.268,0.469,570.92
150 MeV,60,RK4,0.911,0.913,0.948,0.954,8.25
150 MeV,60,RKG,951.0,951.0,8.33e+21,8.45e+21,15.01
150 MeV,60,PS,4.74e-12,4.78e-12,0.229,0.445,64.53
