energy_label,pitch_deg,method,errE_mean,errE_max,errMu_mean,errMu_max,runtime_s
10 keV,90,RK45,0.742,0.744,0.74,0.744,194.02
10 keV,90,RK4,0.104,0.105,0.0992,0.104,7.83
10 keV,90,RKG,1.69e-07,1.88e-07,0.0055,0.011,230.78
10 keV,90,PS,1.66e-12,1.67e-12,0.0055,0.011,50.52
10 keV,30,RK45,,,,,
10 keV,30,RK4,2810000.0,2810000.0,7.26e+25,7.38e+25,8.08
10 keV,30,RKG,6.09e-06,2.88e-05,0.0192,0.0385,232.51
10 keV,30,PS,1.37e-11,1.38e-11,0.0192,0.0385,55.7
100 keV,90,RK45,0.287,0.288,0.274,0.286,259.55
100 keV,90,RK4,0.0975,0.0979,0.0814,0.0971,8.11
100 keV,90,RKG,1.51e-07,1.81e-07,0.0178,0.0355,240.76
100 keV,90,PS,4.03e-12,4.05e-12,0.0178,0.0355,51.5
100 keV,30,RK45,0.558,0.561,0.723,0.74,539.4
100 keV,30,RK4,362000.0,362000.0,4.68e+25,4.75e+25,7.52
100 keV,30,RKG,5.6e-06,2.51e-05,0.0616,0.125,237.5
100 keV,30,PS,1.49e-11,1.5e-11,0.0616,0.125,57.56
1 MeV,90,RK45,0.0957,0.0962,0.0439,0.0936,309.63
1 MeV,90,RK4,0.0797,0.08,0.0371,0.0779,7.34
1 MeV,90,RKG,7.13e-08,1.32e-07,0.0605,0.12,236.18
1 MeV,90,PS,3.14e-12,3.16e-12,0.0605,0.12,53.64
1 MeV,30,RK45,0.175,0.176,0.107,0.253,562.42
1 MeV,30,RK4,42600.0,42600.0,4.62e+24,4.69e+24,7.49
1 MeV,30,RKG,3.61e-06,1.6e-05,0.206,0.424,269.3
1 MeV,30,PS,1.01e-11,1.01e-11,0.206,0.424,59.48
10 MeV,90,RK45,0.0276,0.0277,0.219,0.439,336.43
10 MeV,90,RK4,0.0457,0.0459,0.201,0.409,7.95
10 MeV,90,RKG,1.35e-07,2.15e-07,0.25,0.484,272.0
10 MeV,90,PS,7.58e-12,7.62e-12,0.25,0.484,57.15
10 MeV,30,RK45,0.0445,0.0447,0.765,1.46,553.27
10 MeV,30,RK4,0.571,0.572,0.135,0.382,8.49
10 MeV,30,RKG,8.72e-07,4.65e-06,0.796,1.53,304.74
10 MeV,30,PS,4.23e-12,4.26e-12,0.796,1.53,60.22
