Method,L,10^1 eV,10^2 eV,10^3 eV,10^4 eV,10^5 eV,10^6 eV,10^7 eV,10^8 eV
Analytical Bounce,8,80.3,25.4,8.04,2.58,0.916,0.534,0.503,0.502
Analytical Bounce,6,60.2,19.0,6.03,1.93,0.687,0.4,0.377,0.377
Analytical Bounce,5,50.2,15.9,5.02,1.61,0.572,0.334,0.314,0.314
Analytical Bounce,4,40.1,12.7,4.02,1.29,0.458,0.267,0.251,0.251
Analytical Bounce,3,30.1,9.52,3.01,0.966,0.343,0.2,0.189,0.188
Analytical Bounce,2,20.1,6.35,2.01,0.644,0.229,0.133,0.126,0.126
Analytical Bounce,1,10.0,3.17,1.0,0.322,0.114,0.0667,0.0628,0.0628
Analytical Drift,8,33200000.0,3320000.0,332000.0,33500.0,3610.0,495.0,63.2,6.6
Analytical Drift,6,44200000.0,4420000.0,442000.0,44600.0,4810.0,661.0,84.3,8.8
Analytical Drift,5,53000000.0,5300000.0,531000.0,53600.0,5780.0,793.0,101.0,10.6
Analytical Drift,4,66300000.0,6630000.0,664000.0,66900.0,7220.0,991.0,126.0,13.2
Analytical Drift,3,88400000.0,8840000.0,885000.0,89300.0,9630.0,1320.0,169.0,17.6
Analytical Drift,2,133000000.0,13300000.0,1330000.0,134000.0,14400.0,1980.0,253.0,26.4
Analytical Drift,1,265000000.0,26500000.0,2650000.0,268000.0,28900.0,3960.0,506.0,52.8
PS Method Bounce,8,80.78,25.55,8.09,2.59,0.92,0.54,0.51,0.49
PS Method Bounce,6,60.58,19.16,6.07,1.94,0.69,0.40,0.38,0.38
PS Method Bounce,5,50.49,15.97,5.06,1.62,0.58,0.34,0.32,0.31
PS Method Bounce,4,40.39,12.77,4.04,1.30,0.46,0.27,0.25,0.25
PS Method Bounce,3,30.29,9.58,3.03,0.97,0.35,0.20,0.19,0.19
PS Method Bounce,2,20.19,6.39,2.02,0.65,0.23,0.13,0.13,0.13
PS Method Bounce,1,10.10,3.19,1.01,0.32,0.12,0.07,0.06,0.06
PS Method Drift,8,33272461.07,3326069.95,333009.48,33541.46,3622.66,497.25,63.45,6.52
PS Method Drift,6,44352620.60,4444233.77,444013.88,44302.93,4832.41,663.00,84.60,8.79
PS Method Drift,5,53214743.84,5323847.61,532817.85,53978.96,5796.21,795.79,101.53,10.57
PS Method Drift,4,66442314.37,6655816.32,665327.84,67180.31,7249.63,994.27,126.91,13.23
PS Method Drift,3,88552495.43,8875320.18,888337.25,89571.50,9663.20,1325.83,169.22,17.65
PS Method Drift,2,129066340.86,13336013.60,1343818.13,134504.47,14496.55,1988.83,253.84,26.48
PS Method Drift,1,258923491.40,26845491.18,2665119.03,260313.74,28960.50,3978.15,507.68,52.96
