Method,L,10^1 eV,10^2 eV,10^3 eV,10^4 eV,10^5 eV,10^6 eV,10^7 eV,10^8 eV
PS Method Drift,8,33235031.537049,3327113.540696,332707.152674,33270.097235,3326.350548,331.981317,32.625714,
PS Method Drift,6,44448582.192362,4435145.625523,443620.848149,44360.680100,4435.947136,443.467084,44.202639,
PS Method Drift,5,53034865.672585,5323805.353040,532328.087124,53232.991543,5323.372155,532.395925,53.291544,
PS Method Drift,4,66554365.448815,6657317.056365,665421.077459,66540.883606,6654.372337,665.656008,66.780612,6.858936
PS Method Drift,3,88446304.187499,8894570.063239,887339.410191,88729.932976,8872.618054,887.643147,89.144420,9.267835
PS Method Drift,2,133256152.199146,12150356.544309,1329535.750735,133073.295631,13308.955369,1331.522186,133.774005,13.966087
PS Method Drift,1,264759190.179931,26665306.389166,2674178.644471,266163.857991,26617.807882,2663.034750,267.573155,27.961224
Analytical Drift,8,33161503.890461,3316150.532207,331615.212481,33161.680279,3316.327045,331.791638,33.337263,3.483908
Analytical Drift,6,44215338.520615,4421534.042942,442153.616641,44215.573706,4421.769394,442.388851,44.449685,4.645211
Analytical Drift,5,53058406.224738,5305840.851531,530584.339970,53058.688447,5306.123272,530.866621,53.339621,5.574253
Analytical Drift,4,66323007.780923,6632301.064413,663230.424962,66323.360559,6632.654091,663.583276,66.674527,6.967816
Analytical Drift,3,88430677.041230,8843068.085885,884307.233283,88431.147412,8843.538787,884.777702,88.899369,9.290421
Analytical Drift,2,132646015.561845,13264602.128827,1326460.849924,132646.721117,13265.308181,1327.166552,133.349054,13.935632
Analytical Drift,1,265292031.123690,26529204.257654,2652921.699849,265293.442235,26530.616362,2654.333105,266.698107,27.871264
PS Method Bounce,8,3461.316632,1094.564892,346.130774,109.453055,34.602211,10.906583,2.993014,
PS Method Bounce,6,2595.988397,820.923704,259.598651,82.091998,25.958719,8.205239,2.570351,
PS Method Bounce,5,2163.323835,684.102771,216.332457,68.410438,21.633671,6.842326,2.165123,
PS Method Bounce,4,1730.659056,547.282372,173.065924,54.728555,17.307549,5.475845,1.739865,0.555906
PS Method Bounce,3,1297.993686,410.461858,129.799523,41.046480,12.980879,4.107579,1.307304,0.438045
PS Method Bounce,2,865.329542,273.641252,86.533017,27.364332,8.653973,2.738556,0.872096,0.294548
PS Method Bounce,1,432.664771,136.820622,43.266511,13.682175,4.326991,1.369298,0.436111,0.147508
Analytical Bounce,8,3439.686965,1087.724600,343.968968,108.773321,34.399618,10.885937,3.467118,1.172800
Analytical Bounce,6,2579.765224,815.793450,257.976726,81.579991,25.799714,8.164453,2.600338,0.879600
Analytical Bounce,5,2149.804353,679.827875,214.980605,67.983325,21.499762,6.803711,2.166949,0.733000
Analytical Bounce,4,1719.843482,543.862300,171.984484,54.386660,17.199809,5.442968,1.733559,0.586400
Analytical Bounce,3,1289.882612,407.896725,128.988363,40.789995,12.899857,4.082226,1.300169,0.439800
Analytical Bounce,2,859.921741,271.931150,85.992242,27.193330,8.599905,2.721484,0.866779,0.293200
Analytical Bounce,1,429.960871,135.965575,42.996121,13.596665,4.299952,1.360742,0.433390,0.146600
