energy_label,pitch_deg,method,errE_mean,errE_max,errMu_mean,errMu_max,errPphi_mean,errPphi_max,runtime_s
10 keV,90,RK45,0.394,0.731,0.729,0.73,3.38e-06,3.39e-06,157.32
10 keV,90,RK4,0.0519,0.102,0.097,0.102,4.21e-07,4.23e-07,5.25
10 keV,90,RKG,2.27e-08,4.52e-08,0.00551,0.011,1.79e-13,2e-13,13.86
10 keV,90,PS,8.5e-13,1.91e-12,0.00551,0.011,2.24e-14,2.27e-14,14.22
10 keV,30,RK45,,,,,,,
10 keV,30,RK4,2710000.0,2810000.0,6.78e+25,6.79e+25,0.0229,0.0229,5.23
10 keV,30,RKG,6.18e-06,2.9e-05,0.0192,0.0385,5.63e-13,5.73e-13,16.16
10 keV,30,PS,6.96e-12,1.39e-11,0.0192,0.0383,1.15e-13,1.16e-13,20.01
100 keV,90,RK45,0.145,0.281,0.268,0.279,1.27e-05,1.28e-05,206.83
100 keV,90,RK4,0.0485,0.0955,0.0794,0.0947,4e-06,4.02e-06,5.23
100 keV,90,RKG,3.53e-08,6.84e-08,0.0178,0.0355,5.61e-13,5.69e-13,13.69
100 keV,90,PS,2.03e-12,3.93e-12,0.0178,0.0355,2.62e-13,2.62e-13,14.5
100 keV,30,RK45,0.278,0.546,0.71,0.725,3.76e-06,3.77e-06,420.21
100 keV,30,RK4,347000.0,362000.0,4.37e+25,4.37e+25,,,5.18
100 keV,30,RKG,5.38e-06,2.5e-05,0.0617,0.125,8.13e-13,8.32e-13,15.88
100 keV,30,PS,7.38e-12,1.44e-11,0.0616,0.125,5.67e-14,5.72e-14,20.53
1 MeV,90,RK45,0.0472,0.0937,0.0427,0.0912,4.29e-05,4.31e-05,248.92
1 MeV,90,RK4,0.0395,0.078,0.0367,0.076,3.43e-05,3.44e-05,6.08
1 MeV,90,RKG,7.33e-08,1.28e-07,0.0604,0.12,1.72e-12,1.73e-12,15.48
1 MeV,90,PS,1.46e-12,3.12e-12,0.0604,0.12,1.26e-13,1.26e-13,15.16
1 MeV,30,RK45,0.0863,0.172,0.101,0.246,1.65e-05,1.66e-05,446.77
1 MeV,30,RK4,39400.0,42600.0,4.3e+24,4.3e+24,0.0994,0.0994,5.08
1 MeV,30,RKG,3.39e-06,1.58e-05,0.206,0.424,1.45e-12,1.47e-12,16.48
1 MeV,30,PS,5.18e-12,1.02e-11,0.206,0.424,1.43e-14,1.47e-14,20.9
10 MeV,90,RK45,0.0135,0.027,0.22,0.44,0.000145,0.000146,269.43
10 MeV,90,RK4,0.0226,0.0448,0.202,0.411,0.000222,0.000223,5.32
10 MeV,90,RKG,2.02e-07,2.83e-07,0.25,0.484,8.83e-13,8.96e-13,14.17
10 MeV,90,PS,3.68e-12,7.27e-12,0.25,0.484,7.8e-14,7.82e-14,15.67
10 MeV,30,RK45,0.0219,0.0436,0.766,1.47,7.3e-05,7.34e-05,436.52
10 MeV,30,RK4,0.41,0.566,0.147,0.398,0.000846,0.000849,5.21
10 MeV,30,RKG,8.65e-07,4.64e-06,0.796,1.53,3.93e-12,3.96e-12,15.26
10 MeV,30,PS,2.36e-12,4.57e-12,0.796,1.53,3.5e-13,3.5e-13,20.92
